sample	purity	ploidy
Sim_500_250	0.78	3.01830325089
Sim_500_251	0.65	1.99654096173
Sim_500_252	0.64	2.00171349898
Sim_500_253	0.87	2.0
Sim_500_254	0.73	3.08171314831
Sim_500_255	0.46	2.0227461927
Sim_500_256	0.84	1.56448529215
Sim_500_257	0.5	2.11453794292
Sim_500_258	0.63	2.0
Sim_500_259	0.81	3.6894692142
Sim_500_26	0.28	2.02023128132
Sim_500_260	0.48	1.9864099154
Sim_500_261	0.92	2.01934608716
Sim_500_262	0.74	1.74396832083
Sim_500_263	0.49	2.33883349961
Sim_500_264	0.73	2.07646276609
Sim_500_265	0.4	2.00025365678
Sim_500_266	0.55	2.0001340642
Sim_500_267	0.75	2.13986113985
Sim_500_268	0.63	1.92576147267
Sim_500_269	0.97	1.955631146
Sim_500_27	0.61	1.89982424259
Sim_500_270	0.67	4.08944874623
Sim_500_271	0.27	2.04918951051
Sim_500_272	0.68	2.00078703007
Sim_500_273	0.65	1.98606642582
Sim_500_274	0.51	2.0
Sim_500_275	0.56	2.28059958888
Sim_500_276	0.56	1.97206603853
Sim_500_277	0.94	1.96246739175
Sim_500_278	0.88	1.92508031498
Sim_500_279	0.91	2.01008525032
Sim_500_28	0.85	1.94564131887
Sim_500_280	0.27	1.99187248733
Sim_500_281	0.93	2.57897193268
Sim_500_282	0.74	1.65841847793
Sim_500_283	0.24	2.00171349898
Sim_500_284	0.65	1.97645445884
Sim_500_285	0.85	1.95166909195
Sim_500_286	0.34	1.99995580562
Sim_500_287	0.76	1.48310402625
Sim_500_288	0.34	2.00610399671
Sim_500_289	0.51	1.9705371701
Sim_500_29	0.94	2.01074047277
Sim_500_290	0.69	3.90988407187
Sim_500_291	0.72	1.94204870048
Sim_500_292	0.51	2.0
Sim_500_293	0.9	1.99139622658
Sim_500_294	0.77	1.82662387032
Sim_500_295	0.84	2.1883459676
Sim_500_296	0.93	2.074580281
Sim_500_297	0.9	2.14494737799
Sim_500_298	0.49	1.99652020913
Sim_500_299	0.68	2.00078703007
Sim_500_3	0.89	1.94311835782
Sim_500_30	0.76	2.0
Sim_500_300	0.43	2.0
Sim_500_301	0.49	2.04116326935
Sim_500_302	0.8	1.749529859
Sim_500_303	0.66	1.94055202286
Sim_500_304	0.65	2.1245959262
Sim_500_305	0.96	1.9504934969
Sim_500_306	0.68	1.93395917255
Sim_500_307	0.26	2.03094710004
Sim_500_308	0.79	2.00078703007
Sim_500_309	0.87	1.67516333362
Sim_500_31	0.97	2.17590029937
Sim_500_310	0.58	2.0026503579
Sim_500_311	0.61	2.03612615024
Sim_500_312	0.32	1.94619480201
Sim_500_313	0.56	2.2114233959
Sim_500_314	0.81	1.88855871564
Sim_500_315	0.62	2.9352461538
Sim_500_316	0.79	1.8884131884
Sim_500_317	0.86	1.99926904335
Sim_500_318	0.89	2.00218531776
Sim_500_319	0.63	1.96227538962
Sim_500_32	0.71	2.14378230465
Sim_500_320	0.46	1.92845898704
Sim_500_321	0.8	2.0
Sim_500_322	0.79	1.91587123002
Sim_500_323	0.98	2.00047737659
Sim_500_324	0.22	2.00218531776
Sim_500_325	0.51	1.87510683048
Sim_500_326	0.68	1.749529859
Sim_500_327	0.74	2.01235851921
Sim_500_328	0.96	2.08017768472
Sim_500_329	0.78	1.85743761931
Sim_500_33	0.53	2.04772030346
Sim_500_330	0.9	2.05449038279
Sim_500_331	0.49	1.98483535709
Sim_500_332	0.52	2.0968243702
Sim_500_333	0.77	1.93794551984
Sim_500_334	0.63	1.99997950193
Sim_500_335	0.92	1.99784582525
Sim_500_336	0.39	2.07917041302
Sim_500_337	0.5	2.0
Sim_500_338	0.4	1.82899781096
Sim_500_339	0.88	1.86337565443
Sim_500_34	0.54	2.0
Sim_500_340	0.98	1.97286684575
Sim_500_341	0.91	2.45871702568
Sim_500_342	0.82	3.39339171213
Sim_500_343	0.61	2.38679458961
Sim_500_344	0.78	1.96282669869
Sim_500_345	0.48	3.95049505444
Sim_500_346	0.86	2.00454028399
Sim_500_347	0.59	1.955631146
Sim_500_348	0.42	2.0
Sim_500_349	0.4	1.99926904335
Sim_500_35	0.59	1.92330799785
Sim_500_350	0.66	2.02261859436
Sim_500_351	0.8	3.09156869513
Sim_500_352	0.78	2.08017768472
Sim_500_353	0.63	2.04468190396
Sim_500_354	0.26	2.07683122258
Sim_500_355	0.67	2.43210362835
Sim_500_356	0.36	1.99743379594
Sim_500_357	0.81	1.96654642367
Sim_500_358	0.48	1.99966476636
Sim_500_359	0.33	1.98223899755
Sim_500_36	0.56	2.00078477895
Sim_500_360	0.68	2.30530885123
Sim_500_361	0.79	1.97098851597
Sim_500_362	0.36	1.99850391946
Sim_500_363	0.96	1.99135814759
Sim_500_364	0.81	2.00245281204
Sim_500_365	0.48	2.02133354701
Sim_500_366	0.33	1.96775645756
Sim_500_367	0.33	2.34294040988
Sim_500_368	0.93	2.04922535019
Sim_500_369	0.63	1.95687078037
Sim_500_37	0.49	2.08459557095
Sim_500_370	0.75	1.95117150741
Sim_500_371	0.72	1.95968991517
Sim_500_372	0.27	1.91437362899
Sim_500_373	0.54	2.07683551834
Sim_500_374	0.8	2.45871702568
Sim_500_375	0.89	1.98874112059
Sim_500_376	0.76	1.96251055083
Sim_500_377	0.74	1.90878547336
Sim_500_378	0.33	1.9603251274
Sim_500_379	0.5	2.08777881899
Sim_500_38	0.37	1.98941093566
Sim_500_380	0.78	2.14386575236
Sim_500_381	0.64	2.02505609542
Sim_500_382	0.93	1.93872671469
Sim_500_383	0.69	1.5627781669
Sim_500_384	0.93	2.1498577733
Sim_500_385	0.85	1.94590869492
Sim_500_386	0.59	2.0
Sim_500_387	0.56	1.67522530725
Sim_500_388	0.53	3.09156869513
Sim_500_389	0.85	1.93984652887
Sim_500_39	0.22	1.93497798962
Sim_500_390	0.33	3.26637440901
Sim_500_391	0.93	2.02505609542
Sim_500_392	0.94	2.44837513575
Sim_500_393	0.56	2.21150106603
Sim_500_394	0.33	2.57897193268
Sim_500_395	0.69	2.38679458961
Sim_500_396	0.86	1.93638710354
Sim_500_397	0.8	3.79608789172
Sim_500_398	0.86	1.99995276663
Sim_500_399	0.48	2.1135183759
Sim_500_4	0.73	1.88855871564
Sim_500_40	0.34	2.00292736324
Sim_500_400	0.44	1.98638966666
Sim_500_401	0.74	2.0
Sim_500_402	0.68	2.00028326609
Sim_500_403	0.8	2.09345275613
Sim_500_404	0.68	1.99604892344
Sim_500_405	0.28	1.94311835782
Sim_500_406	0.34	2.0
Sim_500_407	0.26	2.0
Sim_500_408	0.99	1.99447927986
Sim_500_409	0.89	1.86057345779
Sim_500_41	0.52	2.08777881899
Sim_500_410	0.72	1.85189720911
Sim_500_411	0.4	2.28059958888
Sim_500_412	0.81	2.02149762257
Sim_500_413	0.46	2.05299922616
Sim_500_414	0.69	2.03059935638
Sim_500_415	0.34	2.0
Sim_500_416	0.55	2.02149762257
Sim_500_417	0.56	1.99885304072
Sim_500_418	0.42	1.96874811711
Sim_500_419	0.73	1.99715393944
Sim_500_42	0.78	1.97255914748
Sim_500_420	0.84	1.99973027922
Sim_500_421	0.77	1.98549499331
Sim_500_422	0.88	1.79645114702
Sim_500_423	0.64	2.09612673245
Sim_500_424	0.5	2.23277589258
Sim_500_425	0.56	1.93984652887
Sim_500_426	0.51	1.99995580562
Sim_500_427	0.67	1.98751252043
Sim_500_428	0.37	1.98638966666
Sim_500_429	0.88	2.03145342676
Sim_500_43	0.51	1.97550978701
Sim_500_430	0.78	2.00171349898
Sim_500_431	0.25	2.01062692526
Sim_500_432	0.78	1.95157531291
Sim_500_433	0.72	2.00009487133
Sim_500_434	0.96	2.06184645998
Sim_500_435	0.53	1.99995346318
Sim_500_436	0.51	1.95166909195
Sim_500_437	0.44	1.9864099154
Sim_500_438	0.56	2.03021774588
Sim_500_439	0.61	1.94204870048
Sim_500_44	0.96	1.80976308672
Sim_500_440	0.97	2.04922535019
Sim_500_441	0.81	2.0
Sim_500_442	0.72	3.087606341
Sim_500_443	0.42	2.18680781993
Sim_500_444	0.31	2.04772030346
Sim_500_445	0.9	2.31511263699
Sim_500_446	0.36	1.98606816144
Sim_500_447	0.54	2.34983279442
Sim_500_448	0.55	1.96654642367
Sim_500_449	0.76	1.91663294822
Sim_500_45	0.91	1.72236336116
Sim_500_450	0.79	1.92286499956
Sim_500_451	0.64	1.9417473913
Sim_500_452	0.56	2.07917041302
Sim_500_453	0.93	2.00037113131
Sim_500_454	0.68	1.94564131887
Sim_500_455	0.34	1.99715393944
Sim_500_456	0.74	2.07611068912
Sim_500_457	0.46	1.58851448146
Sim_500_458	0.77	2.00055427564
Sim_500_459	0.75	2.02117387133
Sim_500_46	0.34	1.97121993475
Sim_500_460	0.37	1.94574015074
Sim_500_461	0.86	2.00267221307
Sim_500_462	0.89	2.00590682171
Sim_500_463	0.97	1.91055481328
Sim_500_464	0.78	1.67522530725
Sim_500_465	0.75	1.9969690728
Sim_500_466	0.54	2.00256295227
Sim_500_467	0.89	2.01097151046
Sim_500_468	0.16	1.99996108596
Sim_500_469	0.66	2.10678830381
Sim_500_47	0.59	1.48310402625
Sim_500_470	0.74	1.77980360287
Sim_500_471	0.65	2.0
Sim_500_472	0.22	2.00171349898
Sim_500_473	0.79	2.9352461538
Sim_500_474	0.33	1.91843799632
Sim_500_475	0.23	1.99816671193
Sim_500_476	0.81	1.92286499956
Sim_500_477	0.89	2.05842596955
Sim_500_478	0.5	1.98073939304
Sim_500_479	0.17	1.974752847
Sim_500_48	0.44	2.01062692526
Sim_500_480	0.93	2.205587731
Sim_500_481	0.93	2.0968243702
Sim_500_482	0.78	2.17984031951
Sim_500_483	0.26	2.00005783602
Sim_500_484	0.87	2.347860534
Sim_500_485	0.75	3.49371481338
Sim_500_486	0.5	2.07087089136
Sim_500_487	0.6	1.99925275195
Sim_500_488	0.88	1.93395917255
Sim_500_489	0.24	1.99907795687
Sim_500_49	0.92	3.27772246016
Sim_500_490	0.68	2.02261859436
Sim_500_491	0.68	1.95391668424
Sim_500_492	0.65	1.99900402446
Sim_500_493	0.39	1.94171172387
Sim_500_494	0.76	2.19970611031
Sim_500_495	0.24	2.0001340642
Sim_500_496	0.64	1.91843799632
Sim_500_497	0.86	3.86256368034
Sim_500_498	0.3	2.05099307366
Sim_500_499	0.88	1.97418994477
Sim_500_5	0.78	1.89687477964
Sim_500_50	0.86	1.85743761931
Sim_500_500	0.66	2.0
Sim_500_51	0.69	2.00879195646
Sim_500_52	0.69	1.90878547336
Sim_500_53	0.89	2.06184645998
Sim_500_54	0.33	3.087606341
Sim_500_55	0.61	3.49371481338
Sim_500_56	0.36	2.07463706195
Sim_500_57	0.3	2.34983279442
Sim_500_58	0.19	1.96328275046
Sim_500_59	0.88	1.97665275478
Sim_500_6	0.33	1.94201581037
Sim_500_60	0.88	1.93381833508
Sim_500_61	0.74	2.08682827592
Sim_500_62	0.67	1.91663294822
Sim_500_63	0.64	2.0
Sim_500_64	0.72	2.00015645754
Sim_500_65	0.84	2.07611068912
Sim_500_66	0.46	2.48791050781
Sim_500_67	0.79	1.94147998707
Sim_500_68	0.53	1.89111041458
Sim_500_69	0.3	2.00161044755
Sim_500_7	0.66	2.00057254698
Sim_500_70	0.74	2.01074047277
Sim_500_71	0.72	1.90038926244
Sim_500_72	0.5	2.00009487133
Sim_500_73	0.32	2.76993454206
Sim_500_74	0.71	1.95987704792
Sim_500_75	0.43	2.07917041302
Sim_500_76	0.49	2.01595568811
Sim_500_77	0.69	2.2971314354
Sim_500_78	0.68	2.0
Sim_500_79	0.51	1.93872671469
Sim_500_8	0.4	2.03619806066
Sim_500_80	0.53	2.03584236051
Sim_500_81	0.48	1.94201054948
Sim_500_82	0.77	1.95994561204
Sim_500_83	0.56	1.99969184145
Sim_500_84	0.79	2.04923074575
Sim_500_85	0.4	1.5001090308
Sim_500_86	0.66	2.09553238782
Sim_500_87	0.68	1.90105927253
Sim_500_88	0.79	1.99828538576
Sim_500_89	0.53	1.94117842687
Sim_500_9	0.88	1.94859490379
Sim_500_90	0.89	3.087606341
Sim_500_91	0.4	1.99716101171
Sim_500_92	0.37	2.04468190396
Sim_500_93	0.81	2.00103497505
Sim_500_94	0.53	2.02149762257
Sim_500_95	0.6	2.00005049077
Sim_500_96	0.2	1.94574015074
Sim_500_97	0.5	2.00559817106
Sim_500_98	0.96	1.63556951332
Sim_500_99	0.79	1.92067617237
